player_name,image_url,dominant_hand,height_cm,weight_kg,bowling_release_point_height_m,max_recorded_core_speed_kmh,shoulder_ankle_injury_threshold_index
Virat Kohli,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/164.png,Right,175,74,1.88,112.4,77
Rohit Sharma,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/107.png,Right,174,70,1.76,123.1,95
MS Dhoni,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1.png,Right,175,70,1.91,113.9,98
Jasprit Bumrah,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1124.png,Right,175,75,2.04,130.6,90
Hardik Pandya,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,183,85,1.94,153.9,78
Ravindra Jadeja,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,173,78,1.77,86.7,90
Shubman Gill,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,185,82,2.05,112.3,77
KL Rahul,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,184,82,1.85,120.5,92
Rishabh Pant,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,170,65,1.79,124.4,80
Shreyas Iyer,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,178,82,1.89,116.9,96
Mohammed Shami,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,178,83,2.0,143.7,70
Mohammed Siraj,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,178,79,1.89,138.4,87
Kuldeep Yadav,https://cdn-icons-png.flaticon.com/512/861/861506.png,Left,168,73,1.84,89.7,70
Yuzvendra Chahal,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,168,67,1.88,95.0,74
Axar Patel,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,182,80,1.91,80.2,89
Suryakumar Yadav,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,180,84,1.97,120.0,95
Ishan Kishan,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,168,68,1.72,113.9,83
Sanju Samson,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,170,75,1.74,124.2,76
Bhuvneshwar Kumar,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,175,71,1.89,154.5,89
Shardul Thakur,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,175,71,2.03,137.9,82
Yashasvi Jaiswal,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,183,81,1.97,123.1,95
Rinku Singh,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,165,65,1.7,112.9,80
Tilak Varma,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,180,79,1.87,110.2,84
Ruturaj Gaikwad,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,175,70,1.94,120.6,89
Arshdeep Singh,https://cdn-icons-png.flaticon.com/512/861/861506.png,Left,190,95,2.12,145.9,93
Umran Malik,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,178,77,1.88,154.4,75
Ravi Bishnoi,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,170,73,1.73,86.0,94
Washington Sundar,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,185,89,1.85,101.4,70
Deepak Chahar,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,178,82,1.96,141.9,73
Ishant Sharma,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,193,91,2.19,153.6,94
Umesh Yadav,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,180,84,1.99,130.8,89
Varun Chakravarthy,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,175,74,1.85,84.5,86
Venkatesh Iyer,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,191,96,2.07,151.7,93
Prithvi Shaw,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,165,68,1.68,119.6,95
Dinesh Karthik,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,170,75,1.82,115.7,93
Shikhar Dhawan,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,180,81,1.82,110.6,89
Rahul Tripathi,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,175,74,1.93,116.0,90
Shivam Dube,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,193,88,2.14,137.1,75
David Warner,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,170,67,1.85,122.0,92
Jos Buttler,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,180,84,1.9,117.9,81
Glenn Maxwell,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,182,84,2.01,80.7,79
Faf du Plessis,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,180,78,1.8,121.4,86
Rashid Khan,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,172,76,1.79,101.2,95
Trent Boult,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,180,82,1.9,137.2,73
Kagiso Rabada,https://cdn-icons-png.flaticon.com/512/861/861506.png,Left,191,90,2.15,153.7,73
Sam Curran,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,175,78,1.86,151.2,92
Liam Livingstone,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,183,85,1.84,104.8,87
Sunil Narine,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,180,80,1.97,89.2,88
Andre Russell,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,185,87,2.0,130.8,87
Moeen Ali,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,183,85,1.92,91.0,89
Marcus Stoinis,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,185,88,2.04,143.1,80
Nicholas Pooran,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,173,70,1.83,112.9,92
Quinton de Kock,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,173,71,1.75,111.1,93
Pat Cummins,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,192,88,2.03,136.2,79
Mitchell Starc,https://cdn-icons-png.flaticon.com/512/861/861506.png,Left,197,93,2.12,135.0,86
Jofra Archer,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,182,86,2.04,141.7,86
Devon Conway,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,180,79,1.86,116.6,70
Harry Brook,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,180,79,1.82,112.9,91
Cameron Green,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,198,101,2.17,132.6,72
Lockie Ferguson,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,185,88,2.01,139.0,93
Anrich Nortje,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,185,90,2.08,139.1,86
Jason Holder,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,201,98,2.21,149.7,82
Kieron Pollard,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,196,91,2.12,152.3,73
Chris Gayle,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,188,92,2.0,84.0,96
AB de Villiers,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,178,82,1.86,118.1,86
Sachin Tendulkar,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,165,63,1.71,112.7,80
Zaheer Khan,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,180,77,1.97,149.5,92
Yuvraj Singh,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,188,87,1.88,118.0,96
Suresh Raina,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,175,76,1.75,121.5,79
Harbhajan Singh,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,180,79,1.81,96.5,81
Lasith Malinga,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,173,78,1.83,142.5,94
Dale Steyn,https://cdn-icons-png.flaticon.com/512/861/861506.png,Right,179,79,2.08,142.4,71
Shane Watson,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Right,183,83,2.01,139.3,88
Gautam Gambhir,https://cdn-icons-png.flaticon.com/512/2855/2855642.png,Left,168,68,1.85,117.6,79
