session_id,player_name,date,balls_faced_played,wickets_lost_taken,bowling_speed_tracked,line_length_accuracy_pct
S_9007,SC Ganguly,2024-02-28,58,2,,89.0120415952737
S_6392,SC Ganguly,2024-01-14,50,2,134.43185651532258,90.97494247831483
S_3983,SC Ganguly,2024-03-30,74,3,144.11930938202693,78.84405216332756
S_1920,BB McCullum,2024-01-13,52,4,126.98878424260901,60.85402735447883
S_4241,BB McCullum,2024-02-03,49,2,135.86811402081636,92.86736944795138
S_8206,RT Ponting,2024-02-15,48,0,,76.79564671063682
S_1271,RT Ponting,2024-02-25,29,0,,78.2881717072083
S_4760,RT Ponting,2024-01-03,64,1,,68.17627128674685
S_9623,DJ Hussey,2024-03-05,72,0,,73.70705491891246
S_2828,Mohammad Hafeez,2024-03-01,62,3,,90.76914076467577
S_9202,Mohammad Hafeez,2024-03-02,96,1,,94.69090191479418
S_6690,Mohammad Hafeez,2024-03-12,39,4,138.23210384636576,77.9440978855778
S_8274,Mohammad Hafeez,2024-04-07,76,1,,93.5044592044164
S_4845,R Dravid,2024-01-05,24,0,137.91822217291022,78.37610253010939
S_8657,R Dravid,2024-02-04,69,1,124.61687719019565,88.55415937467163
S_5876,R Dravid,2024-03-29,92,3,122.74460512193265,90.71113019206331
S_8490,R Dravid,2024-04-01,48,0,,89.82677366714528
S_1954,W Jaffer,2024-04-07,98,2,134.87627205236313,62.83661755676768
S_4020,W Jaffer,2024-01-28,88,4,134.85439581041922,76.82053020643268
S_3162,V Kohli,2024-02-27,86,1,145.93478640922046,85.68684716337955
S_8314,JH Kallis,2024-03-20,59,3,146.01882602879408,84.79270418502622
S_1362,JH Kallis,2024-02-14,72,1,,84.46467583138556
S_5795,JH Kallis,2024-01-07,24,2,133.9641002630995,90.76750180798462
S_8561,JH Kallis,2024-02-01,72,1,144.96402533873226,77.76137068162927
S_6343,CL White,2024-01-13,65,2,138.95440581050005,69.0931253372456
S_5543,CL White,2024-03-28,54,2,136.23799736028332,93.7047201350648
S_2435,CL White,2024-02-29,98,4,,92.80299705327579
S_2265,MV Boucher,2024-03-08,83,0,141.2571601380789,76.5750860952281
S_9213,MV Boucher,2024-03-30,69,4,,82.66507751906677
S_6043,MV Boucher,2024-03-16,26,4,,71.32635767023395
S_4356,MV Boucher,2024-01-04,32,0,,87.81833420624753
S_2098,B Akhil,2024-02-01,21,3,128.19778580994628,93.28022467876437
S_1988,AA Noffke,2024-01-21,66,4,131.92783193888383,69.59753208220346
S_6626,AA Noffke,2024-01-01,77,3,142.37511036092894,67.01257002420495
S_4056,AA Noffke,2024-01-25,43,3,134.14597380307538,79.01314820264854
S_6179,AA Noffke,2024-02-15,36,4,143.12765533932156,89.56741298409106
S_7342,P Kumar,2024-01-03,83,3,,92.22967467354904
S_3946,P Kumar,2024-01-20,65,0,,80.94145427928494
S_2875,P Kumar,2024-04-09,28,0,,82.80318133807927
S_7644,P Kumar,2024-01-02,91,2,124.48741928002697,76.26095088225335
S_2389,Z Khan,2024-04-04,57,2,145.80367191567615,87.29478461126725
S_1778,Z Khan,2024-03-26,70,0,,94.53319076435012
S_9783,SB Joshi,2024-02-23,39,0,120.29312542257551,71.42614578853971
S_1001,SB Joshi,2024-04-06,52,0,,61.16210880769783
S_8833,SB Joshi,2024-01-22,85,1,144.0176009732725,67.00525854856835
S_9619,SB Joshi,2024-02-18,94,4,120.94758434476927,92.76742861852915
S_1552,PA Patel,2024-03-16,27,1,143.50268177824844,81.42902950584053
S_3430,PA Patel,2024-01-07,94,3,137.9242758789579,87.43413936966017
S_1894,PA Patel,2024-01-03,60,3,122.44889946091769,62.11232293966973
S_2560,ML Hayden,2024-02-14,38,3,146.15498336919364,75.17793668847361
S_1306,ML Hayden,2024-02-13,89,1,129.96943876065328,78.98675225017786
S_9946,ML Hayden,2024-02-04,80,4,,67.12523981197849
S_8005,MEK Hussey,2024-03-25,50,1,132.76480003344227,72.1077247391437
S_4453,MEK Hussey,2024-01-20,79,1,137.3602622571718,75.35153967163566
S_6631,MEK Hussey,2024-04-09,85,1,139.65028016496325,94.72466607192354
S_5732,MS Dhoni,2024-01-12,22,4,,89.25993223234232
S_8904,MS Dhoni,2024-04-08,45,3,125.39049326610726,68.31401637233571
S_1001,SK Raina,2024-02-06,88,4,,63.408768739374324
S_2646,SK Raina,2024-01-14,21,0,,93.92943128173506
S_5356,JDP Oram,2024-03-05,59,3,,93.94373657774906
S_4374,JDP Oram,2024-01-31,30,1,,65.94152667806392
S_6724,S Badrinath,2024-01-10,95,0,,68.70499954056704
S_8115,S Badrinath,2024-01-01,76,3,,81.1938355175709
S_7116,K Goel,2024-03-16,56,0,144.1701045885016,80.48740275388633
S_2742,K Goel,2024-01-06,80,3,,61.99803996312602
S_1281,K Goel,2024-01-29,20,2,,92.68562561347667
S_2229,JR Hopes,2024-01-12,39,4,,84.00887075940445
S_8473,KC Sangakkara,2024-01-29,76,2,,83.34024901411365
S_7294,KC Sangakkara,2024-02-14,71,1,,83.5701351663721
S_9320,Yuvraj Singh,2024-01-08,48,4,127.65919574185295,83.15713226299013
S_6238,Yuvraj Singh,2024-03-30,62,1,,68.5451551647831
S_4719,SM Katich,2024-02-16,95,2,140.68580253094683,83.67796850220363
S_4124,SM Katich,2024-02-17,88,0,,83.02458566110626
