identifier,key_cricinfo,unique_name,name,born,bat_style,bowl_style,field_pos
48fd7349,5939,MEK Hussey,Michael Edward Killeen Hussey,"May 27, 1975, Mt Lawley, Perth, Western Australia",Left hand Bat,Right arm Medium, 
eaa76d3c,1076713,C Green,Cameron Donald Green,"June 03, 1999",Right hand Bat,Right arm Fast medium, 
9fc0ef64,279545,PJ Sangwan,Pradeep Jaibeer Sangwan,"November 05, 1990, Rasiwas, Delhi",Right hand Bat,Left arm Medium, 
ce820073,438362,Sandeep Sharma,Sandeep Sharma,"May 18, 1993, Patiala, Punjab",Right hand Bat,Right arm Medium, 
5f26df4f,31738,VS Malik,Vikramjeet Singh Malik,"May 09, 1983, Vishakapatnam (Andhra)",Right hand Bat,Right arm Medium, 
bd54eef5,1048813,N Jagadeesan,Narayan Jagadeesan,"December 24, 1995, Coimbatore, Tamil Nadu",Right hand Bat, ,Wicketkeeper
dded65e7,279554,IR Jaggi,Ishank Rajiv Jaggi,"January 27, 1989, Bacheli",Right hand Bat,Legbreak Googly, 
acee4cc4,40618,Imran Tahir,Mohammad Imran Tahir,"March 27, 1979, Lahore, Punjab",Right hand Bat,Legbreak Googly, 
662c47a6,317786,Y Nagar,Yogesh Nagar,"January 06, 1990, Wazirabad, Delhi",Right hand Bat,Right arm Offbreak, 
df5a6881,379140,DP Conway,Devon Philip Conway,"July 08, 1991, Johannesburg, Transvaal",Left hand Bat,Right arm Medium,Occasional Wicketkeeper
ff1e68fa,477069,B Indrajith,Baba Indrajith,"July 08, 1994, Madras (now Chennai), Tamil Nadu",Right hand Bat,Legbreak Googly, 
f834dcfc,542023,L Ngidi,Lungisani True-man Ngidi,"March 29, 1996, Durban, Natal",Right hand Bat,Right arm Fast medium, 
f21043a5,300631,MDKJ Perera,Mathurage Don Kusal Janith Perera,"August 17, 1990, Kalubowila",Left hand Bat, ,Wicketkeeper
88fccd6c,46774,SM Pollock,Shaun Maclean Pollock,"July 16, 1973, Port Elizabeth, Cape Province",Right hand Bat,Right arm Fast medium, 
